bilheteunico;calldate;hora;tipo;app;origem;destino;duracao;billsec;duracaototal;
1703583236.4;26/12/2023;06:33:56;IN;Agente;0021;Agente/611;17;3;20;
1703583325.6;26/12/2023;06:35:25;IN;Agente;4505;Agente/631;22;4;26;
1703583348.8;26/12/2023;06:35:48;IN;Agente;4516;Agente/607;27;5;32;
1703583373.10;26/12/2023;06:36:13;IN;Agente;4502;Agente/604;14;4;18;
1703583443.12;26/12/2023;06:37:24;IN;Agente;4508;Agente/611;28;3;31;
1703583483.14;26/12/2023;06:38:03;IN;Agente;4512;Agente/631;22;3;25;
1703583518.16;26/12/2023;06:38:39;IN;Agente;4514;Agente/607;27;4;31;
1703583691.18;26/12/2023;06:41:32;IN;Agente;4506;Agente/604;16;3;19;
1703583702.20;26/12/2023;06:41:42;IN;Agente;1812;Agente/611;64;3;67;
1703583750.22;26/12/2023;06:42:31;IN;Agente;4518;Agente/631;19;3;22;
1703583754.24;26/12/2023;06:42:34;IN;Agente;4513;Agente/607;16;4;20;
1703583786.26;26/12/2023;06:43:07;IN;Agente;4503;Agente/604;16;2;18;
1703583797.28;26/12/2023;06:43:17;IN;Agente;4507;Agente/611;18;4;22;
1703583807.30;26/12/2023;06:43:28;IN;Agente;4510;Agente/631;16;3;19;
1703583808.31;26/12/2023;06:43:28;IN;Agente;0014;Agente/607;15;3;18;
1703583823.34;26/12/2023;06:43:44;IN;Agente;0009;Agente/604;14;3;17;
1703583834.36;26/12/2023;06:43:55;IN;Agente;0415;Agente/607;17;2;19;
1703583905.38;26/12/2023;06:45:06;IN;Agente;2310;Agente/611;19;4;23;
1703583919.40;26/12/2023;06:45:20;IN;Agente;4414;Agente/631;19;3;22;
1703583948.42;26/12/2023;06:45:49;IN;Agente;4215;Agente/604;17;2;19;
1703583969.44;26/12/2023;06:46:09;IN;Agente;0019;Agente/607;13;3;16;
1703583985.46;26/12/2023;06:46:26;IN;Agente;0004;Agente/611;27;6;33;
1703584026.48;26/12/2023;06:47:06;IN;Agente;0403;Agente/631;17;3;20;
1703584066.50;26/12/2023;06:47:46;IN;Agente;4201;Agente/604;16;4;20;
1703584096.52;26/12/2023;06:48:16;IN;Agente;1508;Agente/607;27;3;30;
1703584131.54;26/12/2023;06:48:52;IN;Agente;4211;Agente/611;27;2;29;
1703584150.56;26/12/2023;06:49:11;IN;Agente;2307;Agente/631;34;2;36;
1703584176.58;26/12/2023;06:49:37;IN;Agente;4211;Agente/604;36;2;38;
1703584186.60;26/12/2023;06:49:47;IN;Agente;0017;Agente/607;13;3;16;
1703584216.62;26/12/2023;06:50:17;IN;Agente;0419;Agente/611;16;3;19;
1703584271.64;26/12/2023;06:51:11;IN;Agente;0405;Agente/631;14;4;18;
1703584306.66;26/12/2023;06:51:47;IN;Agente;4109;Agente/607;26;3;29;
1703584308.68;26/12/2023;06:51:48;IN;Agente;4507;Agente/604;11;4;15;
1703584309.70;26/12/2023;06:51:50;IN;Agente;0214;Agente/611;21;3;24;
1703584340.72;26/12/2023;06:52:21;IN;Agente;4218;Agente/631;22;2;24;
1703584340.73;26/12/2023;06:52:21;IN;Agente;0919;Agente/604;16;3;19;
1703584343.76;26/12/2023;06:52:24;IN;Agente;0921;Agente/611;23;2;25;
1703584394.78;26/12/2023;06:53:14;IN;Agente;2414;Agente/607;31;4;35;
1703584394.79;26/12/2023;06:53:14;IN;Agente;0903;Agente/604;16;3;19;
1703584410.82;26/12/2023;06:53:30;IN;Agente;0408;Agente/631;18;3;21;
1703584421.84;26/12/2023;06:53:41;IN;Agente;4412;Agente/611;30;3;33;
1703584444.86;26/12/2023;06:54:04;IN;Agente;2016;Agente/604;38;3;41;
1703584460.88;26/12/2023;06:54:21;IN;Agente;0207;Agente/607;30;4;34;
1703584477.90;26/12/2023;06:54:38;IN;Agente;0212;Agente/631;19;3;22;
1703584478.92;26/12/2023;06:54:39;IN;Agente;2117;Agente/611;26;3;29;
1703584502.94;26/12/2023;06:55:03;IN;Agente;0203;Agente/604;12;3;15;
1703584503.95;26/12/2023;06:55:03;IN;Agente;0209;Agente/607;18;4;22;
1703584510.98;26/12/2023;06:55:10;IN;Agente;2114;Agente/631;17;3;20;
1703584517.100;26/12/2023;06:55:18;IN;Agente;0216;Agente/611;18;11;29;
1703584544.102;26/12/2023;06:55:45;IN;Agente;2010;Agente/604;9;3;12;
1703584555.104;26/12/2023;06:55:55;IN;Agente;4115;Agente/607;22;16;38;
1703584570.107;26/12/2023;06:56:11;IN;Agente;2708;Agente/631;12;2;14;
1703584571.109;26/12/2023;06:56:11;IN;Agente;1901;Agente/611;22;3;25;
1703584572.111;26/12/2023;06:56:12;IN;Agente;2111;Agente/604;18;2;20;
1703584573.113;26/12/2023;06:56:14;IN;Agente;1014;Agente/631;32;26;58;
1703584575.114;26/12/2023;06:56:16;IN;Agente;3601;Agente/604;23;25;48;
1703584586.115;26/12/2023;06:56:26;IN;Agente;3607;Agente/607;30;17;47;
1703584588.116;26/12/2023;06:56:30;IN;Agente;2602;Agente/611;27;26;53;
1703584591.117;26/12/2023;06:56:31;IN;Agente;3518;Agente/604;23;41;64;
1703584592.118;26/12/2023;06:56:33;IN;Agente;1903;Agente/631;22;54;76;
1703584592.119;26/12/2023;06:56:34;IN;Agente;2205;Agente/607;12;54;66;
1703584595.120;26/12/2023;06:56:37;IN;Agente;3605;Agente/604;18;70;88;
1703584606.124;26/12/2023;06:56:46;IN;Agente;1415;Agente/611;27;60;87;
1703584609.125;26/12/2023;06:56:50;IN;Agente;2203;Agente/607;13;69;82;
1703584611.126;26/12/2023;06:56:51;IN;Agente;3611;Agente/631;21;70;91;
1703584614.128;26/12/2023;06:56:55;IN;Agente;2607;Agente/604;15;77;92;
1703584621.129;26/12/2023;06:57:02;IN;Agente;2702;Agente/607;34;84;118;
1703584627.130;26/12/2023;06:57:07;IN;Agente;1206;Agente/604;14;86;100;
1703584627.131;26/12/2023;06:57:08;IN;Agente;4103;Agente/631;15;88;103;
1703584630.133;26/12/2023;06:57:11;IN;Agente;2006;Agente/604;12;103;115;
1703584631.134;26/12/2023;06:57:11;IN;Agente;2705;Agente/631;20;106;126;
1703584637.135;26/12/2023;06:57:17;IN;QUE;2404;VILLE-900;0;1;1;
1703584638.136;26/12/2023;06:57:19;IN;Agente;3601;Agente/607;12;114;126;
1703584648.139;26/12/2023;06:57:29;IN;Agente;2404;Agente/604;12;105;117;
1703584650.140;26/12/2023;06:57:31;IN;Agente;3609;Agente/614;24;114;138;
1703584651.141;26/12/2023;06:57:31;IN;Agente;2019;Agente/631;32;116;148;
1703584664.143;26/12/2023;06:57:44;IN;Agente;2407;Agente/604;16;114;130;
1703584672.145;26/12/2023;06:57:53;IN;Agente;0001;Agente/607;16;100;116;
1703584682.148;26/12/2023;06:58:02;IN;Agente;4406;Agente/611;20;100;120;
1703584683.149;26/12/2023;06:58:03;IN;Agente;0901;Agente/614;28;116;144;
1703584689.150;26/12/2023;06:58:09;IN;Agente;2410;Agente/604;26;116;142;
1703584695.152;26/12/2023;06:58:15;IN;Agente;1801;Agente/611;57;19;76;
1703584696.153;26/12/2023;06:58:17;IN;Agente;0203;Agente/607;16;105;121;
1703584700.154;26/12/2023;06:58:21;IN;Agente;3401;Agente/611;39;115;154;
1703584705.156;26/12/2023;06:58:26;IN;Agente;2712;Agente/631;15;106;121;
1703584709.157;26/12/2023;06:58:30;IN;Agente;2010;Agente/607;23;115;138;
1703584718.161;26/12/2023;06:58:38;IN;Agente;1410;Agente/614;81;117;198;
1703584724.162;26/12/2023;06:58:44;IN;Agente;2613;Agente/631;19;116;135;
1703584724.163;26/12/2023;06:58:45;IN;Agente;1107;Agente/604;16;115;131;
1703584726.164;26/12/2023;06:58:47;IN;Agente;1417;Agente/607;30;134;164;
1703584734.166;26/12/2023;06:58:54;IN;Agente;3520;Agente/604;16;137;153;
1703584738.168;26/12/2023;06:58:58;IN;Agente;3514;Agente/631;17;131;148;
1703584753.172;26/12/2023;06:59:13;IN;Agente;2004;Agente/611;29;121;150;
1703584756.173;26/12/2023;06:59:17;IN;Agente;3506;Agente/631;17;144;161;
1703584762.174;26/12/2023;06:59:23;IN;Agente;2208;Agente/607;20;146;166;
1703584774.178;26/12/2023;06:59:34;IN;Agente;2708;Agente/611;113;145;258;
1703584783.181;26/12/2023;06:59:43;IN;Agente;2014;Agente/604;13;136;149;
1703584794.182;26/12/2023;06:59:55;IN;Agente;3413;Agente/614;29;131;160;
1703584804.186;26/12/2023;07:00:04;IN;Agente;1103;Agente/631;16;130;146;
1703584805.187;26/12/2023;07:00:06;IN;Agente;1404;Agente/607;23;133;156;
1703584808.188;26/12/2023;07:00:08;IN;Agente;2404;Agente/604;10;131;141;
1703584817.191;26/12/2023;07:00:17;IN;Agente;3910;Agente/631;88;145;233;
1703584817.192;26/12/2023;07:00:17;IN;Agente;4119;Agente/614;15;146;161;
1703584830.194;26/12/2023;07:00:31;IN;Agente;1011;Agente/604;46;129;175;
1703584835.196;26/12/2023;07:00:36;IN;Agente;2806;Agente/607;24;137;161;
1703584837.197;26/12/2023;07:00:37;IN;Agente;3821;Agente/614;15;144;159;
1703584845.200;26/12/2023;07:00:45;IN;Agente;3811;Agente/614;18;161;179;
1703584851.201;26/12/2023;07:00:52;IN;Agente;0905;Agente/607;22;159;181;
1703584855.202;26/12/2023;07:00:55;IN;Agente;2809;Agente/604;21;161;182;
1703584856.203;26/12/2023;07:00:57;IN;Agente;3613;Agente/614;17;174;191;
1703584866.206;26/12/2023;07:01:07;IN;Agente;3804;Agente/607;22;174;196;
1703584867.207;26/12/2023;07:01:08;IN;Agente;1211;Agente/604;12;176;188;
1703584869.210;26/12/2023;07:01:09;IN;Agente;4122;Agente/614;14;190;204;
1703584873.212;26/12/2023;07:01:14;IN;Agente;4009;Agente/604;14;190;204;
1703584882.213;26/12/2023;07:01:24;IN;Agente;4001;Agente/604;10;14;24;
1703584898.215;26/12/2023;07:01:39;IN;Agente;0001;Agente/631;18;164;182;
1703584908.218;26/12/2023;07:01:48;IN;Agente;2215;Agente/607;23;166;189;
1703584908.219;26/12/2023;07:01:48;IN;Agente;2801;Agente/614;16;176;192;
1703584909.220;26/12/2023;07:01:49;IN;Agente;4007;Agente/631;14;180;194;
1703584917.221;26/12/2023;07:01:57;IN;Agente;4001;Agente/611;19;177;196;
1703584924.225;26/12/2023;07:02:05;IN;Agente;0914;Agente/604;18;177;195;
1703584946.229;26/12/2023;07:02:27;IN;Agente;3802;Agente/607;22;160;182;
1703584948.230;26/12/2023;07:02:28;IN;Agente;4020;Agente/614;15;159;174;
1703584952.231;26/12/2023;07:02:33;IN;Agente;3805;Agente/631;21;160;181;
1703584956.232;26/12/2023;07:02:37;IN;Agente;3702;Agente/611;19;164;183;
1703584965.236;26/12/2023;07:02:46;IN;Agente;4221;Agente/604;11;160;171;
1703584969.237;26/12/2023;07:02:49;IN;Agente;3419;Agente/614;21;164;185;
1703584980.239;26/12/2023;07:03:00;IN;Agente;2302;Agente/607;13;161;174;
1703585001.241;26/12/2023;07:03:21;IN;Agente;1221;Agente/631;16;146;162;
